GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P          RSQ      RSQ_ADJ
56102        5  140749962  140892546      1       1  192       1.3269     0.092266     0.014846    0.0096607
2878         5  150399999  150408554      1       1  192      -1.0886      0.86183   0.00015985            0
26999        5  156693091  156822606      1       1  192     -0.63154      0.73616   0.00059895            0
3593         5  158741791  158757481      1       1  192     -0.70448      0.75943   0.00049473            0
7172         6   18128542   18155374      1       1  192       2.1835     0.014501     0.031044     0.025944
54901        6   20534688   21232635      1       1  192       1.3852     0.082989     0.015734     0.010554
10475        6   25962917   25987557      1       1  192      -1.4842      0.93113   3.9416e-05            0
3077         6   26087422   26096438      1       1  192     -0.39491      0.65354    0.0010626            0
8345         6   26251848   26261783      1       1  192      0.52855      0.29856    0.0056862   0.00045303
29777        6   26597171   26600278      1       1  192      -1.9043      0.97156   6.7059e-06            0
80317        6   28317691   28336954      1       1  192   -0.0098611      0.50393    0.0023542            0
89870        6   30130968   30140473      1       1  192      0.79371      0.21368    0.0081267    0.0029063
7726         6   30152232   30181271      2       2  192       0.2193      0.41321    0.0093088            0
56658        6   30294227   30311506      1       1  192      0.45005      0.32634    0.0050709            0
202658       6   30297088   30314635      1       1  192      0.45005      0.32634    0.0050709            0
28973        6   30585275   30594174      1       1  192     -0.99512      0.84016   0.00021464            0
8449         6   30620896   30640830      2       2  192      -0.0499       0.5199     0.006898            0
9656         6   30667584   30685458      1       1  192     -0.34021      0.63315    0.0012015            0
203068       6   30688012   30693199      1       1  192       1.0584      0.14494      0.01115    0.0059452
394263       6   30951485   30957675      1       1  192      0.23737      0.40619    0.0036342            0
29113        6   31079000   31080332      1       1  192      -1.0087      0.84344   0.00020581            0
170679       6   31082608   31107869      1       1  192      0.65369      0.25666     0.006767    0.0015395
100507436    6   31367561   31383090      1       1  192     -0.49585         0.69   0.00083915            0
401250       6   31496739   31498008      1       1  192      -1.1834      0.88167   0.00011692            0
4795         6   31514628   31526606      2       2  192      0.46783      0.31995     0.011987    0.0015315
7940         6   31553956   31556686      1       1  192     -0.86588      0.80672   0.00031582            0
7920         6   31654726   31671137      1       1  192      0.97928      0.16372     0.010183    0.0049731
4439         6   31707725   31730455      1       1  192      0.66785      0.25211    0.0068972    0.0016704
401251       6   31730773   31732627      1       1  192     -0.24335      0.59613     0.001481            0
4758         6   31826829   31830709      1       1  192      0.44092      0.32964    0.0050024            0
717          6   31865562   31913449      2       2  192     -0.21379      0.58465    0.0056638            0
629          6   31913721   31919861      1       1  192       1.4369     0.075377     0.016547     0.011371
1589         6   32006093   32009447      1       1  192     -0.95546      0.83033   0.00024227            0
7148         6   32008932   32077151      2       2  192      0.97406      0.16501     0.018885    0.0085032
63943        6   32096484   32098067      1       1  192    -0.076511      0.53049    0.0020741            0
9374         6   32121229   32131458      1       1  192      -1.3325      0.90866   6.9463e-05            0
5089         6   32152510   32157963      1       1  192      0.77227      0.21998    0.0079079    0.0026864
4855         6   32162620   32191844      2       2  192      0.03514      0.48598    0.0076067            0
6891         6   32789610   32806547      1       1  192     -0.25518      0.60071    0.0014445            0
5698         6   32821927   32827628      1       1  192      0.17535       0.4304    0.0032756            0
3109         6   32902406   32908847      1       1  192      0.87389      0.19109     0.008979    0.0037631
6046         6   32936437   32949282      1       1  192     -0.92798      0.82329   0.00026312            0
1302         6   33130469   33160245      1       1  192      0.98043      0.16344     0.010196    0.0049868
54887        6   34759794   34845291      1       1  192   -0.0099686      0.50398    0.0023537            0
55809        6   42192669   42419943      1       1  192     0.089673      0.46427    0.0028222            0
2030         6   44187242   44201888      1       1  192      0.22734      0.41008    0.0035745            0
51302        6   46517317   46620567      3       3  192      0.74533      0.22803     0.022705    0.0071103
2939         6   52614885   52628361      1       1  192       1.1227      0.13078     0.011976    0.0067759
2940         6   52761437   52774496      1       1  192      0.56772      0.28511    0.0060112   0.00077964
667          6   56322785   56819426      1       1  192      -1.7863      0.96297   1.1374e-05            0
154288       6   74072400   74073898      1       1  192      0.25181      0.40059    0.0037215            0
9896         6  110012424  110146634      1       1  192      0.68405      0.24697    0.0070481    0.0018221
6098         6  117609530  117747018      1       1  192      -3.2973      0.99951    1.975e-09            0
64577        6  135238528  135271260      1       1  192     -0.32707      0.62819    0.0012368            0
26230        6  155316488  155578857      1       1  192      -0.3209      0.62586    0.0012537            0
51106        6  155574495  155635631      1       1  192      -0.3209      0.62586    0.0012537            0
6580         6  160542821  160580147      1       1  192       0.8336      0.20225    0.0085439    0.0033257
6582         6  160637794  160679963      2       1  192       1.3368     0.090637     0.014995    0.0098104
6581         6  160769405  160873613      1       1  192     -0.64443      0.74035   0.00057935            0
5340         6  161123225  161175086      1       1  192     -0.77062      0.77953   0.00041341            0
84310        7    1036623    1177911      1       1  192      0.55102      0.29081    0.0058712   0.00063894
2852         7    1126443    1133451      1       1  192      0.55102      0.29081    0.0058712   0.00063894
340267       7    7398244    7575460      1       1  192       1.5846     0.056523     0.019007     0.013844
340273       7   20655245   20796637      4       4  192     -0.83605      0.79844    0.0087775            0
6671         7   21467689   21554440      1       1  192      -1.6372      0.94921   2.1415e-05            0
83637        7   44788168   44809480      1       1  192     -0.21899      0.58667    0.0015585            0
168507       7   47814250   47988071      1       1  192       1.1922      0.11659     0.012911    0.0077157
154664       7   48211057   48687091      1       1  192     -0.81725      0.79311   0.00036294            0
54677        7   86974951   87029112      1       1  192       2.1443     0.016005     0.030155      0.02505
5244         7   87031361   87105019      4       3  192     -0.68434      0.75312    0.0063433            0
5243         7   87133179   87342639      3       3  192     -0.79129      0.78561    0.0056321            0
154661       7   87257729   87461613      1       1  192    0.0065577      0.49738    0.0024272            0
55607        7   94536949   94925727      2       2  192      0.70796      0.23948     0.015011    0.0045876
5444         7   94927669   94953884      1       1  192      0.31253      0.37732    0.0041046            0
5446         7   94989181   95025702      1       1  192       0.9091      0.18165    0.0093705    0.0041567
5445         7   95034174   95064636      1       1  192       1.1871      0.11759     0.012841    0.0076455
140453       7  100663364  100702140      1       1  192     -0.59286      0.72336   0.00066095            0
10466        7  106842189  107204959      1       1  192       1.3496     0.088578     0.015187     0.010004
2845         7  107110502  107116125      1       1  192       1.3496     0.088578     0.015187     0.010004
4897         7  107788071  108096841      1       1  192     -0.67297      0.74952   0.00053778            0
6561         7  122753588  122840025      1       1  192      -1.5246      0.93632   3.3688e-05            0
4899         7  129251555  129396922      1       1  192     -0.21919      0.58675    0.0015579            0
84912        7  133974089  134001827      1       1  192     -0.52681      0.70084   0.00077859            0
340351       7  134671259  134820530      1       1  192       1.7965     0.036208     0.022886     0.017743
6916         7  139478047  139720125      5       5  192     -0.47751       0.6835     0.016434            0
64761        7  139723544  139764086      1       1  192     -0.36597      0.64281    0.0011344            0
11194        7  150725510  150744869      1       1  192     -0.69007      0.75492   0.00051406            0
51422        7  151253200  151574316      1       1  192     -0.30136      0.61843    0.0013083            0
64434        7  156742417  156765876      1       1  192     -0.89584      0.81483    0.0002894            0
79648        8    6264113    6501140      1       1  192     -0.51076      0.69524   0.00080953            0
2626         8   11534433   11617510      1       1  192      -1.2888      0.90126   8.1221e-05            0
137868       8   13947373   15095792      1       1  192     -0.34522      0.63504    0.0011882            0
57509        8   17501303   17658729      1       1  192      0.95503      0.16978    0.0098972    0.0046861
9            8   18027971   18081198      1       1  192       1.0191      0.15409     0.010662    0.0054551
6570         8   20002366   20040717      1       1  192     -0.41683       0.6616    0.0010105            0
2675         8   21549530   21672392      1       1  192     -0.30944       0.6215    0.0012855            0
2796         8   25276774   25282556      1       1  192     -0.95637      0.83056   0.00024161            0
148          8   26605667   26727003      3       3  192      0.19443      0.42292     0.014763            0
3084         8   31496820   32622558      1       1  192      0.71141      0.23842    0.0073079    0.0020831
5423         8   42195973   42229331      1       1  192      -0.2921       0.6149    0.0013348            0
9420         8   65508529   65711348      1       1  192      0.19084      0.42432    0.0033627            0
56704        8   75146935   75233721      1       1  192      0.36888      0.35611    0.0044837            0
6383         8   97505579   97624037      1       1  192     -0.64993      0.74213   0.00057115            0
83988        8  102698770  103137135      1       1  192       1.2997     0.096855     0.014441    0.0092541
55074        8  107282406  107764922      1       1  192      -1.7357      0.95869   1.4158e-05            0
23081        9    6720863    7175648      1       1  192      0.86484      0.19356      0.00888    0.0036636
203238       9   15552872   15971897      1       1  192      0.43375      0.33224     0.004949            0
219          9   38392661   38398662      1       1  192      0.39986      0.34463     0.004702            0
216          9   75515578   75653633      4       3  192     -0.96887      0.83369    0.0045821            0
64078        9   86890765   86983413      3       2  192      -1.0013      0.84165    0.0018226            0
4920         9   94484878   94712444      1       1  192       -0.236      0.59328    0.0015041            0
169841       9   97021578   97065291      1       1  192      0.16814      0.43324    0.0032355            0
19           9  107543283  107690527      5       5  192     -0.94038      0.82649     0.011458            0
84253        9  129986750  130155828      1       1  192      0.59783      0.27498    0.0062692     0.001039
8818         9  130697374  130700763      1       1  192      0.55959      0.28788    0.0059428    0.0007109
6838         9  136197543  136203047      1       1  192     0.095253      0.46206    0.0028503            0
11093        9  136279459  136324525      1       1  192       1.9252     0.027099     0.025446     0.020317
9719         9  136397286  136440641      1       1  192      0.57818      0.28157    0.0060999   0.00086887
10531       10    3179919    3215033      1       1  192      0.65062      0.25765     0.006739    0.0015113
8644        10    5090958    5149878      1       1  192     -0.18137      0.57196    0.0016841            0
55388       10   13203554   13253104      1       1  192       1.3147      0.09431     0.014663     0.009477
10557       10   15139179   15146256      1       1  192      -1.4746      0.92985     4.09e-05            0
6251        10   16632615   16859509      1       1  192       1.6092     0.053783     0.019436     0.014275
5305        10   22823766   23003503      1       1  192       1.6074     0.053989     0.019403     0.014242
221037      10   64926983   65225880      1       1  192       1.2537      0.10498     0.013773    0.0085827
80201       10   70980059   71027315      1       1  192       0.4136      0.33959    0.0048011            0
9469        10   73724120   73773322      2       2  192      0.33621      0.36835     0.010513   4.1901e-05
54462       10   86088342   86278276      1       1  192      0.69524      0.24345    0.0071536    0.0019281
11155       10   88426542   88495829      1       1  192     -0.33395      0.63079    0.0012182            0
55328       10   90033621   90343611      1       1  192     -0.24403       0.5964    0.0014789            0
54536       10   94590887   94819251      1       1  192     -0.11101       0.5442    0.0019391            0
1562        10   96443251   96495947      1       1  192       0.5915      0.27709    0.0062143   0.00098387
1559        10   96698350   96749486      3       2  192       1.6412     0.050378     0.031126     0.020874
1558        10   96796529   96829255      1       1  192      -0.1205      0.54796    0.0019032            0
1244        10  101542457  101611662      1       1  192       1.4328     0.075964     0.016481     0.011305
57715       10  102729254  102745373      1       1  192      -2.2658      0.98827    1.141e-06            0
143187      10  114206756  114578503      1       1  192       1.6291     0.051648     0.019786     0.014627
3026        10  115310590  115349361      1       1  192      -1.5239      0.93623    3.378e-05            0
374354      10  115614391  115672265      1       1  192      -1.0149      0.84491   0.00020191            0
118670      10  124670217  124672627      1       1  192      0.69052      0.24493     0.007109    0.0018833
2849        10  125425871  125456915      1       1  192      -0.5366      0.70423    0.0007602            0
1488        10  126676418  126849624      1       1  192     -0.50321      0.69259   0.00082443            0
977         11     832952     838840      1       1  192      0.11768      0.45316    0.0029652            0
5002        11    2920951    2946476      1       1  192      0.52359      0.30028     0.005646   0.00041255
119772      11    4566421    4567374      1       1  192     0.070289      0.47198    0.0027263            0
81282       11    4935949    4936893      1       1  192      -0.7683      0.77884   0.00041608            0
119679      11    5067756    5068691      1       1  192      -0.6032      0.72681   0.00064391            0
6833        11   17414432   17498449      2       2  192     -0.31789      0.62472     0.004966            0
340990      11   17568920   17667491      1       1  192      -1.6578      0.95133   1.9662e-05            0
847         11   34460472   34493607      1       1  192     -0.78747       0.7845   0.00039455            0
57689       11   40135524   41481186      1       1  192        1.734     0.041455     0.021699      0.01655
84680       11   44087729   44105791      1       1  192     -0.25985      0.60251    0.0014302            0
2132        11   44117099   44266980      1       1  192     -0.88853      0.81287   0.00029567            0
60529       11   44282278   44331735      1       1  192      0.85416      0.19651    0.0087642    0.0035471
2147        11   46740743   46761056      1       1  192       1.2355      0.10832     0.013515    0.0083231
9376        11   62760296   62783317      2       2  192     -0.33244      0.63022    0.0048736            0
117245      11   63228876   63258680      1       1  192      -0.0291      0.51161    0.0022706            0
5970        11   65421067   65430443      1       1  192      0.86942      0.19231      0.00893    0.0037138
79703       11   66512207   66613997      1       1  192      0.31087      0.37795    0.0040937            0
11309       11   74862032   74917445      1       1  192     -0.87801      0.81003   0.00030489            0
79731       11   78147007   78285909      1       1  192      0.32815       0.3714    0.0042073            0
54843       11   85405264   85522197      1       1  192      0.10682      0.45747    0.0029091            0
7299        11   88911040   89028927      1       1  192     -0.53656      0.70421   0.00076027            0
120114      11   92047446   92629636      1       1  192       1.7268     0.042097     0.021565     0.016415
84441       11   95711440   96076344      1       1  192      0.33509      0.36878    0.0042536            0
255239      11  113258513  113271140      1       1  192      0.26161      0.39681    0.0037816            0
7704        11  113930289  114126702      1       1  192      -0.7858      0.78401   0.00039639            0
399979      11  130745766  130786382      1       1  192      0.66547      0.25288    0.0068751    0.0016482
50863       11  131240371  132206716      1       1  192        0.513      0.30398    0.0055605   0.00032662
89944       11  134201768  134246222      1       1  192      0.25186      0.40058    0.0037218            0
9918        12    6602547    6641132      1       1  192    -0.066264      0.52642    0.0021155            0
25977       12    8234807    8250373      1       1  192    -0.032768      0.51307     0.002255            0
5858        12    9301436    9360966      1       1  192     -0.33303      0.63044    0.0012207            0
51267       12   10223012   10251655      1       1  192     -0.85863      0.80473   0.00032251            0
50837       12   10954131   10955226      1       1  192      0.22321      0.41169      0.00355            0
4257        12   16500076   16530123      1       1  192      0.22396      0.41139    0.0035544            0
10599       12   21284128   21392730      2       2  192       2.7007    0.0034594     0.058202     0.048236
6579        12   21417534   21548371      1       1  192      0.74665      0.22764    0.0076516    0.0024287
10060       12   21950323   22094797      3       3  192     -0.44348      0.67129    0.0081774            0
4033        12   25205181   25261269      1       1  192      -1.8214      0.96573   9.7416e-06            0
83857       12   29653746   29937692      1       1  192       -1.418       0.9219   5.0715e-05            0
120892      12   40618813   40763087      1       1  192     -0.33364      0.63067     0.001219            0
9169        12   46312914   46385898      1       1  192     -0.42475      0.66449   0.00099218            0
55089       12   47158544   47226205      1       1  192     -0.37195      0.64503    0.0011193            0
8091        12   66218240   66360071      1       1  192     -0.45122      0.67408   0.00093287            0
100129940   12   66253782   66275821      1       1  192     -0.45122      0.67408   0.00093287            0
8549        12   71832931   71980090      1       1  192     -0.27869      0.60976    0.0013739            0
1833        12   91357456   91398803      1       1  192       1.1952        0.116     0.012952    0.0077572
27340       12  101673905  101780397      1       1  192     -0.59709      0.72478   0.00065394            0
4604        12  101988709  102079658      1       1  192       -1.848       0.9677   8.6547e-06            0
353116      12  123955909  124018265      2       2  192       1.2896     0.098592     0.024218     0.013892
255967      13   28710997   28869475      1       1  192     -0.46896      0.68045   0.00089469            0
6541        13   30083551   30169825      1       1  192      0.67076      0.25119    0.0069241    0.0016974
94240       13   43460524   43566407      1       1  192      0.86378      0.19385    0.0088685     0.003652
10257       13   95672083   95953705      6       5  192      0.30746      0.37925     0.027923    0.0017922
266722      13   96743093   97491816      1       1  192      -2.8452      0.99778   4.0828e-08            0
6555        13  103696348  103719196      1       1  192     -0.69781      0.75735    0.0005036            0
79587       13  111293757  111358480      1       1  192     -0.21209      0.58398     0.001581            0
7011        14   20833826   20882331      1       1  192       0.8444      0.19922    0.0086592    0.0034416
6038        14   21152259   21168761      1       1  192     -0.34857      0.63629    0.0011794            0
161253      14   23352374   23356889      1       1  192        1.231      0.10917     0.013451    0.0082584
1690        14   31343741   31364285      1       1  192     -0.49324      0.68908   0.00084442            0
64067       14   33404115   34273382      1       1  192      -1.1654      0.87808   0.00012418            0
51199       14   51186481   51297839      1       1  192     -0.71698      0.76331   0.00047843            0
6554        14   70242552   70264006      2       2  192    -0.035509      0.51416    0.0070146            0
801         14   90863327   90874619      1       1  192     -0.56265      0.71316   0.00071287            0
283748      15   42359881   42386752      1       1  192      -1.6631      0.95185    1.924e-05            0
399697      15   48470546   48495951      1       1  192       1.3232     0.092882      0.01479    0.0096049
9101        15   50716579   50793280      1       1  192       2.1414     0.016122     0.030089     0.024985
