# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
9019         1  167691187  167761156      1       1  192      0.34125    5.5511e-17      0.34125
2153         1  169481192  169555769      2       2  192     0.048836    2.7756e-17     0.048836
6401         1  169691781  169703220      1       1  192        1.154             0        1.154
2326         1  171217610  171255113      3       3  192      0.85389             0      0.85389
26092        1  179851177  179889212      1       1  192      -1.3048             0      -1.3048
127665       1  182023705  182030847      1       1  192       0.1185    2.7756e-17       0.1185
5743         1  186640944  186649559      1       1  192     0.049466    2.7756e-17     0.049466
5317         1  201252580  201302121      1       1  192      0.92884             0      0.92884
3898         1  201349966  201368669      1       1  192      0.26516    5.5511e-17      0.26516
89796        1  201508243  201796102      1       1  192       0.3501    5.5511e-17       0.3501
23114        1  204797782  204991950      1       1  192     -0.64231             0     -0.64231
148808       1  205538112  205572046      1       1  192      0.86272             0      0.86272
148811       1  205797150  205819276      1       1  192      0.62942             0      0.62942
9641         1  206643586  206670223      1       1  192      0.13991    2.7756e-17      0.13991
29949        1  206972215  207016326      1       1  192      0.27108    5.5511e-17      0.27108
1063         1  214776522  214837914      1       1  192       1.8985             0       1.8985
824          1  223889295  223963720      1       1  192      0.19584    2.7756e-17      0.19584
84033        1  228395740  228566577      1       1  192       1.7012             0       1.7012
128061       1  231359509  231376933      1       1  192      0.43443    5.5511e-17      0.43443
7257         1  231664399  231702270      1       1  192      0.62356             0      0.62356
81470        1  247751662  247752615      1       1  192      -1.1138             0      -1.1138
8648         2   24714919   24993571      1       1  192     -0.69225             0     -0.69225
151056       2   28718938   28866654      1       1  192      0.53695             0      0.53695
7498         2   31557188   31637611      1       1  192       0.4638    5.5511e-17       0.4638
5610         2   37332281   37384190      1       1  192      0.22487    2.7756e-17      0.22487
1545         2   38294746   38303323      1       1  192      -1.6222             0      -1.6222
6546         2   40339286   40739575      1       1  192      0.42746    5.5511e-17      0.42746
51626        2   44001178   44055095      1       1  192      0.17219    2.7756e-17      0.17219
64240        2   44039611   44066039      1       1  192      0.17219    2.7756e-17      0.17219
90411        2   47129009   47168994      1       1  192       1.5491             0       1.5491
23198        2   54091204   54197977      1       1  192      0.98804             0      0.98804
129852       2   54558006   54588714      1       1  192     0.083941    2.7756e-17     0.083941
64395        2   70056818   70106727      1       1  192     -0.36931    5.5511e-17     -0.36931
8291         2   71680347   71913895      1       1  192     -0.26453    5.5511e-17     -0.26453
56603        2   72356367   72374991      1       1  192      -0.2894    5.5511e-17      -0.2894
9486         2  101008322  101034130      1       1  192     -0.30737    5.5511e-17     -0.30737
130827       2  103378490  103450948      1       1  192     0.065795    2.7756e-17     0.065795
6819         2  108905095  108926371      1       1  192     -0.20225    2.7756e-17     -0.20225
3553         2  113587337  113594356      1       1  192     -0.70115             0     -0.70115
57628        2  115199899  116603328      1       1  192     -0.42446    5.5511e-17     -0.42446
8886         2  118572255  118589953      1       1  192     -0.59464             0     -0.59464
29994        2  160175490  160473059      1       1  192     -0.58548             0     -0.58548
8647         2  169779336  169887833      2       2  192      0.11398    2.7756e-17      0.11398
8604         2  172639915  172750816      1       1  192      0.34613    5.5511e-17      0.34613
91752        2  185463093  185804214      1       1  192     -0.07804    2.7756e-17     -0.07804
6775         2  191894302  192037404      1       1  192      0.51509             0      0.51509
316          2  201450731  201536218      2       2  192     -0.27832    5.5511e-17     -0.27832
54576        2  234526291  234681946      3       3  192      0.17624    2.7756e-17      0.17624
54575        2  234545123  234681951      3       3  192      0.17624    2.7756e-17      0.17624
54600        2  234580544  234681951      3       3  192      0.17624    2.7756e-17      0.17624
54577        2  234590584  234681945      3       3  192      0.17624    2.7756e-17      0.17624
54578        2  234600321  234681951      1       1  192       1.1277             0       1.1277
54579        2  234621638  234681945      1       1  192       1.1277             0       1.1277
54657        2  234627438  234681945      1       1  192       1.1277             0       1.1277
54659        2  234637773  234681945      1       1  192       1.1277             0       1.1277
54658        2  234668919  234681945      1       1  192       1.1277             0       1.1277
55355        2  234745486  234763212      1       1  192      0.63006             0      0.63006
51738        3   10327434   10334631      1       1  192     -0.93253             0     -0.93253
5468         3   12329349   12475855      2       2  192     -0.27318    5.5511e-17     -0.27318
23225        3   13357730   13461819      1       1  192    -0.054443    2.7756e-17    -0.054443
27303        3   29322351   30051886      1       1  192     -0.35882    5.5511e-17     -0.35882
4292         3   37034841   37092337      1       1  192     -0.16468    2.7756e-17     -0.16468
9389         3   38323785   38360064      1       1  192      -1.7042             0      -1.7042
10869        3   49145479   49158371      1       1  192      0.82296             0      0.82296
6405         3   50192562   50226508      1       1  192      0.59821             0      0.59821
2317         3   57994127   58157982      1       1  192     -0.18818    2.7756e-17     -0.18818
5793         3   61547243   62280573      1       1  192     0.047989    2.7756e-17     0.047989
56987        3  107241783  107530176      1       1  192       -1.484             0       -1.484
8856         3  119499331  119552295      1       1  192      0.74983             0      0.74983
8607         3  127799800  127872752      1       1  192     -0.57618             0     -0.57618
6578         3  133651540  133748920      1       1  192     -0.58076             0     -0.58076
9435         3  142838618  142842856      1       1  192     -0.32025    5.5511e-17     -0.32025
84107        3  147103835  147124596      1       1  192     -0.42199    5.5511e-17     -0.42199
57560        3  159974774  160118028      1       1  192     -0.43767    5.5511e-17     -0.43767
57552        3  172348435  172429207      1       1  192      -1.5397             0      -1.5397
55486        3  183543522  183602693      1       1  192      0.42399    5.5511e-17      0.42399
10057        3  183637722  183735803      1       1  192       0.7024             0       0.7024
132112       3  186915274  186919253      1       1  192      -0.8137             0      -0.8137
344905       3  192992831  193096514      1       1  192       3.6092             0       3.6092
9079         4   16503164   16900424      1       1  192     -0.20004    2.7756e-17     -0.20004
2555         4   46246470   46392056      1       1  192      0.57816             0      0.57816
7363         4   70345883   70391732      1       1  192       1.1467             0       1.1467
574537       4   70454135   70505360      2       1  192      -1.4689             0      -1.4689
10941        4   70454135   70518967      3       2  192      -2.5323             0      -2.5323
6783         4   70706930   70725870      1       1  192     0.012638     2.949e-17     0.012638
51170        4   88257691   88312455      1       1  192     -0.29616    5.5511e-17     -0.29616
1758         4   88571454   88585513      1       1  192      0.77542             0      0.77542
9429         4   89011416   89152569      1       1  192      0.85319             0      0.85319
5910         4   99182527   99365012      1       1  192     -0.43889    5.5511e-17     -0.43889
127          4  100044832  100065449      1       1  192      -1.2307             0      -1.2307
131          4  100333418  100356667      1       1  192      0.25954    5.5511e-17      0.25954
4547         4  100485240  100545154      2       2  192       1.5861             0       1.5861
132320       4  129805148  130014764      1       1  192        0.527             0        0.527
4258         4  140586922  140661899      1       1  192       1.8391             0       1.8391
987          4  151185811  151936879      1       1  192     -0.55245             0     -0.55245
56884        4  162305044  163085186      1       1  192      0.70785             0      0.70785
55247        4  178230991  178284092      1       1  192      -2.1444             0      -2.1444
55714        4  183065112  183724177      1       1  192    -0.043031    2.7756e-17    -0.043031
441054       4  186347220  186370982      1       1  192       -1.123             0       -1.123
2160         4  187187099  187210835      2       2  192   -0.0046664    3.0358e-17   -0.0046664
348932       5    1225470    1246304      1       1  192      -2.8312             0      -2.8312
651746       5   10564435   10657928      1       1  192       1.1942             0       1.1942
5810         5   34905365   34915780      1       1  192     -0.59446             0     -0.59446
730          5   40909599   40983041      1       1  192       1.4292             0       1.4292
345557       5   41307048   41510730      1       1  192    -0.027847    3.1225e-17    -0.027847
3157         5   43287572   43313614      1       1  192      0.22893    2.7756e-17      0.22893
375449       5   65892176   66465426      1       1  192      0.88398             0      0.88398
2150         5   76114833   76131140      1       1  192     -0.91347             0     -0.91347
8622         5   76476082   76724081      1       1  192      0.33511    5.5511e-17      0.33511
133746       5   78531925   78623038      1       1  192      0.17484    2.7756e-17      0.17484
134526       5   80625731   80689988      1       1  192     -0.13854    2.7756e-17     -0.13854
1946         5  106712590  107006596      1       1  192     -0.39843    5.5511e-17     -0.39843
6583         5  131630145  131679899      2       2  192      0.74972             0      0.74972
6584         5  131705396  131731306      3       3  192      0.66713             0      0.66713
995          5  137620959  137674064      1       1  192       -0.541             0       -0.541
56114        5  140709388  140892546      1       1  192       1.3861             0       1.3861
56113        5  140718354  140892546      1       1  192       1.3861             0       1.3861
56112        5  140723601  140892546      1       1  192       1.3861             0       1.3861
56104        5  140729828  140892546      1       1  192       1.3861             0       1.3861
56111        5  140734768  140892546      1       1  192       1.3861             0       1.3861
56103        5  140739409  140892546      1       1  192       1.3861             0       1.3861
56110        5  140743729  140892546      1       1  192       1.3861             0       1.3861
56109        5  140749811  140892546      1       1  192       1.3861             0       1.3861
56102        5  140749962  140892546      1       1  192       1.3861             0       1.3861
2878         5  150399999  150408554      1       1  192      -1.0356             0      -1.0356
26999        5  156693091  156822606      1       1  192     -0.58404             0     -0.58404
3593         5  158741791  158757481      1       1  192     -0.71292             0     -0.71292
7172         6   18128542   18155374      1       1  192       2.2591             0       2.2591
54901        6   20534688   21232635      1       1  192       1.4228             0       1.4228
10475        6   25962917   25987557      1       1  192      -1.5307             0      -1.5307
3077         6   26087422   26096438      1       1  192     -0.41889    5.5511e-17     -0.41889
8345         6   26251848   26261783      1       1  192      0.57351             0      0.57351
29777        6   26597171   26600278      1       1  192      -1.9864             0      -1.9864
80317        6   28317691   28336954      1       1  192     -0.12918    2.7756e-17     -0.12918
89870        6   30130968   30140473      1       1  192      0.85667             0      0.85667
7726         6   30152232   30181271      2       2  192    -0.027857    3.1225e-17    -0.027857
56658        6   30294227   30311506      1       1  192      0.40539    5.5511e-17      0.40539
202658       6   30297088   30314635      1       1  192      0.40539    5.5511e-17      0.40539
28973        6   30585275   30594174      1       1  192      -1.2255             0      -1.2255
8449         6   30620896   30640830      2       2  192     -0.44073    5.5511e-17     -0.44073
9656         6   30667584   30685458      1       1  192      -0.5346             0      -0.5346
203068       6   30688012   30693199      1       1  192      0.98413             0      0.98413
394263       6   30951485   30957675      1       1  192      0.21617    2.7756e-17      0.21617
29113        6   31079000   31080332      1       1  192      -1.0092             0      -1.0092
170679       6   31082608   31107869      1       1  192      0.72274             0      0.72274
100507436    6   31367561   31383090      1       1  192     -0.44527    5.5511e-17     -0.44527
401250       6   31496739   31498008      1       1  192      -1.2117             0      -1.2117
4795         6   31514628   31526606      2       2  192      0.21246    2.7756e-17      0.21246
7940         6   31553956   31556686      1       1  192     -0.84445             0     -0.84445
7920         6   31654726   31671137      1       1  192        1.004             0        1.004
4439         6   31707725   31730455      1       1  192      0.59103             0      0.59103
401251       6   31730773   31732627      1       1  192     -0.25062    5.5511e-17     -0.25062
4758         6   31826829   31830709      1       1  192      0.33699    5.5511e-17      0.33699
717          6   31865562   31913449      2       2  192     -0.46971    5.5511e-17     -0.46971
629          6   31913721   31919861      1       1  192       1.3132             0       1.3132
1589         6   32006093   32009447      1       1  192      -1.2019             0      -1.2019
7148         6   32008932   32077151      2       2  192      0.48828    5.5511e-17      0.48828
63943        6   32096484   32098067      1       1  192     -0.26154    5.5511e-17     -0.26154
9374         6   32121229   32131458      1       1  192      -1.5629             0      -1.5629
5089         6   32152510   32157963      1       1  192      0.55555             0      0.55555
4855         6   32162620   32191844      2       2  192     -0.30106    5.5511e-17     -0.30106
6891         6   32789610   32806547      1       1  192     -0.18811    2.7756e-17     -0.18811
5698         6   32821927   32827628      1       1  192      0.23565    2.7756e-17      0.23565
3109         6   32902406   32908847      1       1  192      0.93144             0      0.93144
6046         6   32936437   32949282      1       1  192      -1.0609             0      -1.0609
1302         6   33130469   33160245      1       1  192       1.0547             0       1.0547
54887        6   34759794   34845291      1       1  192    -0.024557    3.1225e-17    -0.024557
55809        6   42192669   42419943      1       1  192     0.010221     2.949e-17     0.010221
2030         6   44187242   44201888      1       1  192      0.22791    2.7756e-17      0.22791
51302        6   46517317   46620567      3       3  192      0.59567             0      0.59567
2939         6   52614885   52628361      1       1  192       1.1762             0       1.1762
2940         6   52761437   52774496      1       1  192      0.42436    5.5511e-17      0.42436
667          6   56322785   56819426      1       1  192      -1.7381             0      -1.7381
154288       6   74072400   74073898      1       1  192      0.31736    5.5511e-17      0.31736
9896         6  110012424  110146634      1       1  192      0.41812    5.5511e-17      0.41812
6098         6  117609530  117747018      1       1  192      -2.9519             0      -2.9519
64577        6  135238528  135271260      1       1  192     -0.44639    5.5511e-17     -0.44639
26230        6  155316488  155578857      1       1  192     -0.61088             0     -0.61088
51106        6  155574495  155635631      1       1  192     -0.61088             0     -0.61088
6580         6  160542821  160580147      1       1  192      0.89761             0      0.89761
6582         6  160637794  160679963      2       1  192         1.41             0         1.41
6581         6  160769405  160873613      1       1  192     -0.57344             0     -0.57344
5340         6  161123225  161175086      1       1  192     -0.74114             0     -0.74114
84310        7    1036623    1177911      1       1  192      0.59598             0      0.59598
2852         7    1126443    1133451      1       1  192      0.59598             0      0.59598
340267       7    7398244    7575460      1       1  192       1.4653             0       1.4653
340273       7   20655245   20796637      4       4  192     -0.62458             0     -0.62458
6671         7   21467689   21554440      1       1  192      -1.5706             0      -1.5706
83637        7   44788168   44809480      1       1  192     -0.15093    2.7756e-17     -0.15093
168507       7   47814250   47988071      1       1  192       1.2547             0       1.2547
154664       7   48211057   48687091      1       1  192     -0.86747             0     -0.86747
54677        7   86974951   87029112      1       1  192       2.0621             0       2.0621
5244         7   87031361   87105019      4       3  192     -0.88302             0     -0.88302
5243         7   87133179   87342639      3       3  192      -1.0209             0      -1.0209
154661       7   87257729   87461613      1       1  192     -0.10473    2.7756e-17     -0.10473
55607        7   94536949   94925727      2       2  192      0.46787    5.5511e-17      0.46787
5444         7   94927669   94953884      1       1  192     0.022556    3.1225e-17     0.022556
5446         7   94989181   95025702      1       1  192      0.56757             0      0.56757
5445         7   95034174   95064636      1       1  192       1.1919             0       1.1919
140453       7  100663364  100702140      1       1  192     -0.53758             0     -0.53758
10466        7  106842189  107204959      1       1  192       1.3491             0       1.3491
2845         7  107110502  107116125      1       1  192       1.3491             0       1.3491
4897         7  107788071  108096841      1       1  192      -0.6724             0      -0.6724
6561         7  122753588  122840025      1       1  192      -1.4891             0      -1.4891
4899         7  129251555  129396922      1       1  192     -0.17488    2.7756e-17     -0.17488
84912        7  133974089  134001827      1       1  192     -0.46126    5.5511e-17     -0.46126
340351       7  134671259  134820530      1       1  192        1.455             0        1.455
6916         7  139478047  139720125      5       5  192     -0.27673    5.5511e-17     -0.27673
64761        7  139723544  139764086      1       1  192     -0.38995    5.5511e-17     -0.38995
11194        7  150725510  150744869      1       1  192     -0.85892             0     -0.85892
51422        7  151253200  151574316      1       1  192     -0.34251    5.5511e-17     -0.34251
64434        7  156742417  156765876      1       1  192      -0.8308             0      -0.8308
79648        8    6264113    6501140      1       1  192     -0.50301             0     -0.50301
2626         8   11534433   11617510      1       1  192      -1.2512             0      -1.2512
137868       8   13947373   15095792      1       1  192      -0.2971    5.5511e-17      -0.2971
57509        8   17501303   17658729      1       1  192       0.9618             0       0.9618
9            8   18027971   18081198      1       1  192      0.88107             0      0.88107
6570         8   20002366   20040717      1       1  192      -0.4327    5.5511e-17      -0.4327
2675         8   21549530   21672392      1       1  192     -0.24491    2.7756e-17     -0.24491
2796         8   25276774   25282556      1       1  192     -0.94475             0     -0.94475
148          8   26605667   26727003      3       3  192    0.0075477    3.0358e-17    0.0075477
3084         8   31496820   32622558      1       1  192      0.76839             0      0.76839
5423         8   42195973   42229331      1       1  192     -0.45386    5.5511e-17     -0.45386
9420         8   65508529   65711348      1       1  192      0.15791    2.7756e-17      0.15791
56704        8   75146935   75233721      1       1  192      0.19231    2.7756e-17      0.19231
6383         8   97505579   97624037      1       1  192     -0.67391             0     -0.67391
83988        8  102698770  103137135      1       1  192       1.3284             0       1.3284
55074        8  107282406  107764922      1       1  192      -1.7195             0      -1.7195
23081        9    6720863    7175648      1       1  192      0.84635             0      0.84635
203238       9   15552872   15971897      1       1  192      0.48788    5.5511e-17      0.48788
219          9   38392661   38398662      1       1  192      0.42213    5.5511e-17      0.42213
216          9   75515578   75653633      4       3  192      -1.1186             0      -1.1186
64078        9   86890765   86983413      3       2  192      -1.3188             0      -1.3188
4920         9   94484878   94712444      1       1  192     -0.33314    5.5511e-17     -0.33314
169841       9   97021578   97065291      1       1  192      0.14127    2.7756e-17      0.14127
19           9  107543283  107690527      5       5  192     -0.74873             0     -0.74873
84253        9  129986750  130155828      1       1  192      0.30786    5.5511e-17      0.30786
8818         9  130697374  130700763      1       1  192      0.52508             0      0.52508
6838         9  136197543  136203047      1       1  192       0.1608    2.7756e-17       0.1608
11093        9  136279459  136324525      1       1  192       1.8939             0       1.8939
9719         9  136397286  136440641      1       1  192      0.55968             0      0.55968
10531       10    3179919    3215033      1       1  192      0.55669             0      0.55669
8644        10    5090958    5149878      1       1  192     -0.11788    2.7756e-17     -0.11788
55388       10   13203554   13253104      1       1  192       1.3204             0       1.3204
10557       10   15139179   15146256      1       1  192      -1.4709             0      -1.4709
6251        10   16632615   16859509      1       1  192       1.5609             0       1.5609
5305        10   22823766   23003503      1       1  192       1.6703             0       1.6703
221037      10   64926983   65225880      1       1  192        1.244             0        1.244
80201       10   70980059   71027315      1       1  192      0.46773    5.5511e-17      0.46773
9469        10   73724120   73773322      2       2  192      0.14165    2.7756e-17      0.14165
54462       10   86088342   86278276      1       1  192      0.64876             0      0.64876
11155       10   88426542   88495829      1       1  192     -0.30524    5.5511e-17     -0.30524
55328       10   90033621   90343611      1       1  192     -0.17647    2.7756e-17     -0.17647
54536       10   94590887   94819251      1       1  192    -0.080762    2.7756e-17    -0.080762
1562        10   96443251   96495947      1       1  192      0.53935             0      0.53935
1559        10   96698350   96749486      3       2  192       1.2923             0       1.2923
1558        10   96796529   96829255      1       1  192     -0.12894    2.7756e-17     -0.12894
1244        10  101542457  101611662      1       1  192       1.3175             0       1.3175
57715       10  102729254  102745373      1       1  192      -2.2912             0      -2.2912
143187      10  114206756  114578503      1       1  192       1.6416             0       1.6416
3026        10  115310590  115349361      1       1  192      -1.7704             0      -1.7704
374354      10  115614391  115672265      1       1  192      -1.0101             0      -1.0101
118670      10  124670217  124672627      1       1  192      0.62349             0      0.62349
2849        10  125425871  125456915      1       1  192     -0.56644             0     -0.56644
1488        10  126676418  126849624      1       1  192     -0.43319    5.5511e-17     -0.43319
977         11     832952     838840      1       1  192      0.14793    2.7756e-17      0.14793
5002        11    2920951    2946476      1       1  192      0.53615             0      0.53615
119772      11    4566421    4567374      1       1  192      0.12147    2.7756e-17      0.12147
81282       11    4935949    4936893      1       1  192     -0.82864             0     -0.82864
119679      11    5067756    5068691      1       1  192     -0.53415             0     -0.53415
6833        11   17414432   17498449      2       2  192     -0.54153             0     -0.54153
340990      11   17568920   17667491      1       1  192      -1.6521             0      -1.6521
847         11   34460472   34493607      1       1  192     -0.90268             0     -0.90268
57689       11   40135524   41481186      1       1  192       1.7428             0       1.7428
84680       11   44087729   44105791      1       1  192     -0.27702    5.5511e-17     -0.27702
2132        11   44117099   44266980      1       1  192     -0.87597             0     -0.87597
60529       11   44282278   44331735      1       1  192      0.92418             0      0.92418
2147        11   46740743   46761056      1       1  192       1.2731             0       1.2731
9376        11   62760296   62783317      2       2  192     -0.58944             0     -0.58944
117245      11   63228876   63258680      1       1  192     -0.24581    2.7756e-17     -0.24581
5970        11   65421067   65430443      1       1  192      0.79515             0      0.79515
79703       11   66512207   66613997      1       1  192      0.30705    5.5511e-17      0.30705
11309       11   74862032   74917445      1       1  192     -0.82927             0     -0.82927
79731       11   78147007   78285909      1       1  192      0.32544    5.5511e-17      0.32544
54843       11   85405264   85522197      1       1  192      0.14577    2.7756e-17      0.14577
7299        11   88911040   89028927      1       1  192     -0.53284             0     -0.53284
120114      11   92047446   92629636      1       1  192       1.6575             0       1.6575
84441       11   95711440   96076344      1       1  192      0.36223    5.5511e-17      0.36223
255239      11  113258513  113271140      1       1  192      0.29412    5.5511e-17      0.29412
7704        11  113930289  114126702      1       1  192     -0.71481             0     -0.71481
399979      11  130745766  130786382      1       1  192       0.7374             0       0.7374
50863       11  131240371  132206716      1       1  192      0.30814    5.5511e-17      0.30814
89944       11  134201768  134246222      1       1  192      0.24804    2.7756e-17      0.24804
9918        12    6602547    6641132      1       1  192      -0.0605    2.7756e-17      -0.0605
25977       12    8234807    8250373      1       1  192     -0.13323    2.7756e-17     -0.13323
5858        12    9301436    9360966      1       1  192     -0.29136    5.5511e-17     -0.29136
51267       12   10223012   10251655      1       1  192     -0.91897             0     -0.91897
50837       12   10954131   10955226      1       1  192    -0.066763    2.7756e-17    -0.066763
4257        12   16500076   16530123      1       1  192     0.091017    2.7756e-17     0.091017
10599       12   21284128   21392730      2       2  192       2.4016             0       2.4016
6579        12   21417534   21548371      1       1  192      0.51626             0      0.51626
10060       12   21950323   22094797      3       3  192     -0.50648             0     -0.50648
4033        12   25205181   25261269      1       1  192       -1.823             0       -1.823
83857       12   29653746   29937692      1       1  192      -1.4122             0      -1.4122
120892      12   40618813   40763087      1       1  192     -0.29821    5.5511e-17     -0.29821
9169        12   46312914   46385898      1       1  192     -0.35141    5.5511e-17     -0.35141
55089       12   47158544   47226205      1       1  192      -0.3417    5.5511e-17      -0.3417
8091        12   66218240   66360071      1       1  192     -0.56643             0     -0.56643
100129940   12   66253782   66275821      1       1  192     -0.56643             0     -0.56643
8549        12   71832931   71980090      1       1  192     -0.35814    5.5511e-17     -0.35814
1833        12   91357456   91398803      1       1  192       1.0008             0       1.0008
27340       12  101673905  101780397      1       1  192     -0.88706             0     -0.88706
4604        12  101988709  102079658      1       1  192      -1.8651             0      -1.8651
353116      12  123955909  124018265      2       2  192      0.95066             0      0.95066
255967      13   28710997   28869475      1       1  192     -0.54841             0     -0.54841
6541        13   30083551   30169825      1       1  192      0.42428    5.5511e-17      0.42428
94240       13   43460524   43566407      1       1  192      0.90204             0      0.90204
10257       13   95672083   95953705      6       5  192       0.3865    5.5511e-17       0.3865
266722      13   96743093   97491816      1       1  192      -2.8457             0      -2.8457
6555        13  103696348  103719196      1       1  192     -0.70626             0     -0.70626
79587       13  111293757  111358480      1       1  192     -0.20047    2.7756e-17     -0.20047
7011        14   20833826   20882331      1       1  192      0.81606             0      0.81606
6038        14   21152259   21168761      1       1  192     -0.40472    5.5511e-17     -0.40472
161253      14   23352374   23356889      1       1  192       1.1401             0       1.1401
1690        14   31343741   31364285      1       1  192     -0.45157    5.5511e-17     -0.45157
64067       14   33404115   34273382      1       1  192      -1.1826             0      -1.1826
51199       14   51186481   51297839      1       1  192     -0.86606             0     -0.86606
6554        14   70242552   70264006      2       2  192     -0.30424    5.5511e-17     -0.30424
801         14   90863327   90874619      1       1  192     -0.63203             0     -0.63203
283748      15   42359881   42386752      1       1  192       -1.615             0       -1.615
399697      15   48470546   48495951      1       1  192       1.0332             0       1.0332
9101        15   50716579   50793280      1       1  192       2.2049             0       2.2049
8925        15   63900817   64126148      1       1  192      0.52986             0      0.52986
145957      15   76234314   76304785      1       1  192     -0.82924             0     -0.82924
5346        15   90207598   90222648      1       1  192       -1.328             0       -1.328
28232       15   92396938   92715665      2       2  192      0.38907    5.5511e-17      0.38907
23524       16    2802330    2821413      1       1  192      0.52414             0      0.52414
79091       16    8715497    8740079      1       1  192    0.0020302    2.9924e-17    0.0020302
23274       16   11038345   11276046      1       1  192       -1.158             0       -1.158
368         16   16243422   16318083      2       1  192      -1.2458             0      -1.2458
81533       16   47188302   47495018      1       1  192      0.53763             0      0.53763
4313        16   55513081   55540586      1       1  192      0.61872             0      0.61872
8824        16   66968347   66978999      1       1  192     -0.37021    5.5511e-17     -0.37021
8717        16   67188088   67193812      1       1  192      0.50781             0      0.50781
1012        16   82660399   83830215      1       1  192     -0.19144    2.7756e-17     -0.19144
4157        16   89984287   89987385      1       1  192      0.62375             0      0.62375
23125       17    4871287    4890960      1       1  192    -0.080367    2.7756e-17    -0.080367
23746       17    6327057    6338576      1       1  192      0.30517    5.5511e-17      0.30517
2256        17    7341784    7348256      1       1  192       1.5113             0       1.5113
64518       17   15207129   15244958      1       1  192      0.70166             0      0.70166
224         17   19552064   19580908      2       2  192       1.2587             0       1.2587
7126        17   26662548   26674035      1       1  192      -1.9687             0      -1.9687
342618      17   33874728   33886783      1       1  192      -2.9811             0      -2.9811
3860        17   39657233   39661865      1       1  192      0.72771             0      0.72771
10014       17   42154121   42201014      1       1  192      -0.1744    2.7756e-17      -0.1744
78995       17   42219274   42239844      1       1  192      0.31254    5.5511e-17      0.31254
3211        17   46606807   46608272      1       1  192     -0.13697    2.7756e-17     -0.13697
8714        17   48712205   48769063      2       2  192      0.60516             0      0.60516
10238       17   61627796   61671641      1       1  192       2.2846             0       2.2846
54549       17   71330523   71640227      1       1  192       2.1312             0       2.1312
147138      17   76125505   76139049      1       1  192       -2.389             0       -2.389
494514      18     649620     658340      1       1  192     -0.46797    5.5511e-17     -0.46797
7298        18     657590     673499      1       1  192     -0.46797    5.5511e-17     -0.46797
9663        18    2916992    3013313      1       1  192       1.1447             0       1.1447
83539       18   24494554   24765302      2       2  192     -0.79098             0     -0.79098
252884      18   32946661   32957301      1       1  192     -0.18381    2.7756e-17     -0.18381
89778       18   61370194   61391123      1       1  192      -1.7539             0      -1.7539
4772        18   77155772   77289323      1       1  192     -0.66813             0     -0.66813
682         19     571277     583493      1       1  192     -0.18991    2.7756e-17     -0.18991
257062      19    5720688    5778742      1       1  192     -0.70033             0     -0.70033
50509       19   10070237   10121147      1       1  192        1.078             0        1.078
126402      19   15121539   15134083      1       1  192     -0.12514    2.7756e-17     -0.12514
11283       19   15726029   15740448      1       1  192      0.89754             0      0.89754
4051        19   15751701   15771570      1       1  192      -1.0868             0      -1.0868
57834       19   16023180   16045676      1       1  192       1.4034             0       1.4034
